STULS,ESCS,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,BELONG,BEINGBULLIED,gender,TEACHBEHA,SBHL,PV1READ
10,0.7783,0.0523,-0.5886,1.1049,-0.3253,0.6402,0.5102,-0.1716,-0.2934,-0.1532,0.9747,-1.1534,-0.5229,1.0596,-0.2459,-0.1652,-1.1176,-0.4684,-0.4347,-0.3184,-0.7823,2,1.6299,1.3333334,1
9,1.1471,2.0345,0.4522,1.8202,0.7743,1.0346,2.0871,2.0073,1.8245,1.4734,-0.9391,0.4667,-0.2661,1.8164,-0.687,0.8126,-0.5928,1.217,-0.3152,0.3581,-0.7823,1,-0.7767,1.3333334,1
7,0.7659,2.0345,0.7628,1.8202,0.7743,0.6402,0.5102,0.3695,1.8245,0.2865,0.6012,1.0844,0.2653,0.5693,-0.3799,-0.523,0.7301,-0.0614,0.2549,0.3018,-0.7823,2,-2.0409,1,1
6,0.7402,2.0345,1.314,1.8202,0.7743,1.0346,1.1543,2.0073,0.9684,-1.0299,0.9995,0.4667,-0.5707,-0.7233,-0.4342,-0.6723,0.1869,0.8236,0.1447,0.0914,-0.7823,1,-0.9033,1,1
6,-0.3769,-0.0424,1.314,1.8202,0.7743,-0.6576,1.0383,2.0073,1.8245,-0.6142,0.6012,-0.6583,0.1956,0.5693,-0.3498,-0.3121,-0.5928,-1.0586,-0.094,-0.3086,-0.7823,2,-1.419,1,1
5,1.4581,2.0345,-0.3971,-0.3733,0.7743,1.0346,0.5102,0.4572,-0.6079,0.2865,1.6762,1.0844,-0.5707,0.5693,-0.4342,-0.9827,-0.5928,-0.5536,-0.3152,-0.142,-0.7823,1,-0.5582,1,1
7,1.2287,1.0294,-1.1608,-2.9425,-0.3253,1.0346,-0.5864,-1.0467,-1.2931,0.202,0.6012,1.0844,0.1956,-0.1015,0.052,0.2621,0.7301,-0.0614,-0.3507,-0.445,0.2907,1,-0.1274,1.3333334,1
10,1.3002,2.0345,1.314,1.8202,2.0165,1.0346,2.0871,2.0073,1.8245,1.563,1.6762,1.0844,2.0054,1.8164,-0.4939,0.2621,1.2386,-0.0614,1.008,2.7249,-0.7823,1,-2.0409,1,1
4,-0.8252,2.0345,1.314,1.8202,2.0165,1.0346,2.0871,2.0073,1.8245,0.8711,0.9995,1.0844,1.2643,0.6291,1.0944,-0.9827,0.5012,-0.8579,1.8524,-0.7331,-0.7823,1,1.4533,1,1
9,0.9011,2.0345,1.314,0.6525,1.5844,1.0346,2.0871,0.4572,1.8245,2.0378,0.9747,1.0844,0.6314,0.5693,-1.059,1.7411,-1.2568,0.3858,-0.2151,0.6818,-0.7823,2,0.6101,1,1
